zip,city,state,lat,lon,pop,sqmi,denspersqmi,med_income,avg_income,subways
956,Bayamon,PR,18.321137,-66.170419,0,26.473,0,#N/A,#N/A,2
957,Bayamon,PR,18.368414,-66.187693,0,4.62,0,#N/A,#N/A,2
959,Bayamon,PR,18.39182,-66.154564,0,6.415,0,#N/A,#N/A,2
960,Bayamon,PR,18.416919,-66.145795,0,0.93,0,#N/A,#N/A,5
961,Bayamon,PR,18.413286,-66.164617,0,5.158,0,#N/A,#N/A,4
962,Catano,PR,18.444614,-66.148839,0,3.814,0,#N/A,#N/A,1
965,Guaynabo,PR,18.433757,-66.114752,0,0.66,0,#N/A,#N/A,0
966,Guaynabo,PR,18.401521,-66.117597,0,3.22,0,#N/A,#N/A,2
968,Guaynabo,PR,18.406085,-66.101232,0,0.458,0,#N/A,#N/A,2
969,Guaynabo,PR,18.368062,-66.108062,0,4.883,0,#N/A,#N/A,4
971,Guaynabo,PR,18.318884,-66.11919,0,15.959,0,#N/A,#N/A,0
976,Trujillo Alto,PR,18.336176,-65.994099,0,16.74,0,#N/A,#N/A,4
979,Carolina,PR,18.444394,-66.030036,0,1.56,0,#N/A,#N/A,2
982,Carolina,PR,18.411261,-65.992045,0,1.42,0,#N/A,#N/A,0
983,Carolina,PR,18.417816,-65.975819,0,3.46,0,#N/A,#N/A,4
985,Carolina,PR,18.41077,-65.947928,0,8.14,0,#N/A,#N/A,2
987,Carolina,PR,18.338161,-65.941083,0,24.816,0,#N/A,#N/A,2
1001,Agawam,MA,42.062368,-72.625754,16769,11.442,1465.565461,56663,66688,1
1002,Amherst,MA,42.364061,-72.458739,29049,55.043,527.751031,49853,75063,2
1003,Amherst,MA,42.389941,-72.524108,10372,0.711,14587.90436,28462,35121,0
1005,Barre,MA,42.418848,-72.106598,5079,44.242,114.8004159,75423,82442,0
1007,Belchertown,MA,42.27901,-72.400468,14649,52.643,278.2706153,79076,85802,1
1008,Blandford,MA,42.190144,-72.95435,1263,53.796,23.47758198,63980,78391,0
1009,Bondsville,MA,42.211969,-72.341433,741,0.797,929.7365119,51452,66737,0
1010,Brimfield,MA,42.128176,-72.205352,3609,34.743,103.87704,75625,80919,0
1011,Chester,MA,42.300281,-72.968716,1370,31.616,43.33248988,63476,77443,0
1012,Chesterfield,MA,42.375425,-72.858192,661,13.119,50.38493788,58750,74722,0
1013,Chicopee,MA,42.154904,-72.602804,23188,5.624,4123.044097,36578,46179,2
1020,Chicopee,MA,42.172602,-72.562073,29668,12.47,2379.14996,50058,58516,5
1022,Chicopee,MA,42.197741,-72.542713,2451,4.761,514.8078135,50440,60797,2
1026,Cummington,MA,42.465495,-72.918267,946,24.004,39.41009832,60320,71505,0
1027,Easthampton,MA,42.295008,-72.751877,17660,40.501,436.0386163,58573,66613,1
1028,East Longmeadow,MA,42.062378,-72.498111,15720,13.006,1208.67292,80252,94891,2
1029,East Otis,MA,42.193395,-73.044647,789,15.848,49.78546189,62955,97075,0
1030,Feeding Hills,MA,42.072925,-72.686972,11669,11.867,983.3150754,71106,81727,1
1031,Gilbertville,MA,42.329399,-72.198187,1308,8.092,161.641127,61250,76417,0
1032,Goshen,MA,42.457613,-72.81478,570,11.769,48.4323222,67692,79796,0
1033,Granby,MA,42.244949,-72.500143,6227,27.826,223.7835118,#N/A,#N/A,1
1034,Granville,MA,42.098676,-72.961564,2021,71.597,28.2274397,63980,78391,0
1035,Hadley,MA,42.356491,-72.568632,5250,23.086,227.4105518,69911,73973,3
1036,Hampden,MA,42.062946,-72.417297,5109,19.513,261.8254497,78869,95493,1
1037,Hardwick,MA,42.372728,-72.195412,838,14.111,59.38629438,61250,76417,0
1038,Hatfield,MA,42.385496,-72.606929,2545,9.998,254.5509102,53939,72430,0
1039,Haydenville,MA,42.404278,-72.688922,1336,13.207,101.1584766,66284,78497,0
1040,Holyoke,MA,42.211656,-72.642448,39880,21.281,1873.972088,35549,43615,5
1050,Huntington,MA,42.286762,-72.869695,2530,38.329,66.00746171,62097,70566,0
1053,Leeds,MA,42.356301,-72.713584,1685,5.131,328.3960242,60477,77611,0
1054,Leverett,MA,42.468898,-72.484579,1851,22.807,81.1592932,67831,86678,0
1056,Ludlow,MA,42.183577,-72.457812,21103,27.205,775.7029958,63318,72027,2
1057,Monson,MA,42.093596,-72.321494,8534,44.908,190.0329563,73254,78485,1
1060,Northampton,MA,42.321488,-72.630588,15284,10.92,1399.6337,48069,67478,2
1062,Florence,MA,42.328308,-72.703924,11150,18.154,614.1897103,60686,82398,0
1063,Northampton,MA,42.318882,-72.63853,430,0.039,11025.64103,40694,32047,0
1066,North Hatfield,MA,42.406903,-72.655018,64,0.71,90.14084507,53939,72430,0
1068,Oakham,MA,42.350862,-72.044248,1902,20.82,91.35446686,77396,81314,0
1069,Palmer,MA,42.187794,-72.308469,8469,28.065,301.7637627,50345,65297,1
1070,Plainfield,MA,42.518446,-72.919017,629,20.541,30.62168346,60320,71505,0
1071,Russell,MA,42.16006,-72.873853,1596,15.579,102.4455998,63980,78391,0
1072,Shutesbury,MA,42.456968,-72.417244,1478,20.086,73.58359056,67831,86678,0
1073,Southampton,MA,42.226949,-72.741588,5792,28.152,205.7402671,80738,94452,1
1074,South Barre,MA,42.387603,-72.09323,319,0.085,3752.941176,75423,82442,0
1075,South Hadley,MA,42.256208,-72.58103,17527,17.718,989.2200023,63053,76027,1
1077,Southwick,MA,42.05257,-72.777353,9502,30.821,308.2962915,73645,81585,1
1079,Thorndike,MA,42.197913,-72.329709,692,1.128,613.4751773,51452,66737,0
1080,Three Rivers,MA,42.185727,-72.361558,2334,1.727,1351.476549,50100,59535,0
1081,Wales,MA,42.061313,-72.234411,1698,14.497,117.1276816,65917,76367,0
1082,Ware,MA,42.293533,-72.278599,10322,46.105,223.8802733,51936,60093,2
1083,Warren,MA,42.203642,-72.194599,2888,15.78,183.0164766,55030,70156,0
1084,West Chesterfield,MA,42.39237,-72.882235,176,9.197,19.136675,58750,74722,0
1085,Westfield,MA,42.153503,-72.771602,41117,59.882,686.633713,57598,68897,5
1086,Westfield,MA,42.130446,-72.793967,687,0.037,18567.56757,93611,83650,0
1088,West Hatfield,MA,42.391709,-72.646494,670,5.2,128.8461538,53939,72430,1
1089,West Springfield,MA,42.125451,-72.649734,28391,16.713,1698.73751,53711,64226,3
1092,West Warren,MA,42.191868,-72.235108,1394,6.703,207.9665821,55030,70156,0
1093,Whately,MA,42.441943,-72.661817,325,5.044,64.43298969,59722,72440,0
1094,Wheelwright,MA,42.359108,-72.1368,351,1.136,308.9788732,61250,76417,0
1095,Wilbraham,MA,42.138499,-72.420715,14319,22.614,633.1918281,89486,101878,1
1096,Williamsburg,MA,42.39714,-72.763572,2217,31.683,69.97443424,66148,78920,0
1097,Woronoco,MA,42.178038,-72.832612,111,1.709,64.95026331,63980,78391,0
1098,Worthington,MA,42.394315,-72.943115,1101,31.352,35.11737688,60320,71505,0
1103,Springfield,MA,42.104106,-72.592027,2479,0.46,5389.130435,16963,25747,2
1104,Springfield,MA,42.134009,-72.565378,22865,5.216,4383.627301,35380,43969,4
1105,Springfield,MA,42.099958,-72.580765,12350,1.243,9935.639582,17756,27144,2
